"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4623","Successful login with valid credentials","","Fri Aug 08 17:23:42 IST 2025","passed","Fri Aug 08 17:23:47 IST 2025","","","",""
"D:\PythonProject\saucedemo_bdd_automation\features\login.feature: Successful login with valid credentials","5875","test_successful_login_with_valid_credentials","features.steps","Fri Aug 08 16:46:31 IST 2025","passed","Fri Aug 08 16:46:37 IST 2025","","test_login","",""
